Solvents,δd,δp,δh,δT,X2,Δδ,Weight
Ethanol,15.8,8.8,19.4,26.5,1.87·10^-4,7.36,0.01
Water,15.6,16.0,42.3,47.9,1.42·10^-5,20.79,1.0
Ethyl acetate,15.1,5.3,9.2,18.5,7.82·10^-6,16.15,0.01
"1,4-Dioxane",19.0,1.8,7.4,20.5,2.35·10^-5,20.37,1.0
Acetic acid,14.5,8.0,13.5,21.4,4.32·10^-3,11.13,0.01
1-Pentanol,13.0,4.5,13.9,21.7,1.06·10^-4,13.61,1.0
DMF,17.4,13.7,11.3,24.8,6.67·10^-3,10.88,0.01
Benzene,18.4,1.0,2.0,18.6,5.56·10^-7,24.79,1.0
Cl-Benzene,19.0,4.3,2.0,19.6,1.27·10^-6,23.1,0.01
1-Octanol,17.0,3.3,11.9,20.9,9.75·10^-5,15.93,1.0
Acetophenone,19.6,8.6,3.7,21.7,3.61·10^-4,19.91,1.0
Acetone,15.5,10.4,7.0,20.0,6.17·10^-5,15.52,1.0
Isopropyl myristate,15.9,2.1,2.8,16.3,5.02·10^-7,23.21,1.0
DEGME,15.5,5.7,11.2,19.95,6.00·10^-4,14.43,0.01
Methanol,15.1,12.3,22.3,29.6,5.33·10^-4,3.55,1.0
Acetonitrile,15.3,18.0,6.1,24.4,7.67·10^-5,15.65,1.0
"1,2-Dichloroethane",19.0,7.4,4.1,20.8,7.67·10^-5,19.87,1.0
